,Song,Artist,Genre,Composed,Release_year,Different albums,Covers,Rating
116,New York Town,Woody Guthrie ,Folk,Woody Guthrie,1999,2,7,2.75
117,Who's Gonna Shoe Your Pretty Little Feet?,Woody Guthrie ,Folk,Woody Guthrie,1991,2,3,2.5
118,"Hard, Ain't It Hard",Woody Guthrie ,Folk,Woody Guthrie,1972,2,10,3.0
119,Hard Travelin',Cisco Houston,Folk,Woody Guthrie,1994,2,19,4.0
120,Midnight Special,Woody Guthrie ,Blues,Traditional,1995,2,78,2.5
121,Get Along Little Doggies,Woody Guthrie ,Folk,Ward L. Chandler,1976,1,0,2.5
122,Talking Dust Bowl,Cisco Houston,Folk,Woody Guthrie,2000,1,2,3.5
123,When the Yanks Go Marching In,Woody Guthrie ,Folk,Woody Guthrie,1996,1,1,4.0
124,Sally Don't You Grieve,Woody Guthrie ,Folk,Woody Guthrie,1996,1,8,4.0
125,Buffalo Skinners,Woody Guthrie ,Folk,Woody Guthrie,1995,1,5,2.0
126,Pretty Boy Floyd,Woody Guthrie ,Folk,Woody Guthrie,1995,1,45,2.0
127,Family Tree,Tom Chapin,Children's,Tom Chapin,1988,3,0,3.5
128,Nick of Time,Tom Chapin,Children's,Tom Chapin,1988,1,0,4.5
129,Someone's Gonna Use It,Tom Chapin,Children's,Tom Chapin,1988,4,0,3.5
130,R-E-C-Y-C-L-E,Tom Chapin,Children's,Tom Chapin,1994,3,0,4.0
131,"Uh Oh, Accident",Tom Chapin,Children's,Tom Chapin,1988,2,1,4.5
132,Together Tomorrow,Tom Chapin,Children's,Tom Chapin,1988,2,2,4.5
133,Don't Make Me,Tom Chapin,Children's,Tom Chapin,1988,2,0,4.5
134,Big Rock Candy Mountain,Tom Chapin,Children's,Tom Chapin,1988,2,0,4.5
135,Shovelling,Tom Chapin,Children's,Tom Chapin,1988,1,0,4.5
136,This Pretty Planet,Tom Chapin,Children's,Tom Chapin,1988,2,3,4.5
137,Eres Mi Droga,Intocable,Latin,Miguel Mendoza,1997,55,7,2.6666666666666665
138,Ensename a Olvidarte,Intocable,Latin,Luis Padilla,2000,22,1,4.5
139,El Amigo Que Se Fue,Intocable,Latin,Miguel Luna,1999,20,0,3.6666666666666665
140,No Te Vayas,Intocable,Latin,Gilberto Abrego,1996,21,1,3.357142857142857
141,Déjame Amarte,Intocable,Latin,Eduardo Alanis,2000,18,0,3.6666666666666665
142,Suena,Intocable,Latin,Luis Padilla,2003,24,1,4.0
143,¿Dónde Estás?,Intocable,Latin,Eduardo Alanis,1997,13,2,3.0
144,Amor Maldito,Intocable,Latin,Miguel Mendoza,1998,9,0,3.2
145,U.N.I.T.Y.,Queen Latifah,Rap,Dana Owens,1993,30,0,3.142857142857143
146,Just Another Day...,Queen Latifah,Rap,Apache,1993,9,0,3.5
147,Fly Girl,Queen Latifah,Electronic,Cutfather,1991,1,0,2.0
148,Hairspray~You Can't Stop the Beat,Nikki Blonsky,Pop/Rock,Scott Wittman,2007,1,0,4.0
149,Buddy,De La Soul ,Rap,Jonathan Davis,1998,3,1,3.6666666666666665
150,Love March,Paul Butterfield,Rousing,Brother Gene Dinwiddie,1969,3,1,3.25
151,Walking by Myself,Paul Butterfield,Rousing,Lane,1969,1,3,2.5
152,Everythings Gonna Be Alright,Paul Butterfield ,Blues,Big Walter Horton,1972,1,1,2.5
153,Three Harp Boogie,Billy Boy Arnold ,Blues,Billy Boy Arnold,1993,2,0,3.5
154,Chicago,Tony Bennett,Vocal,Fred Fisher,1994,41,163,2.1785714285714284
155,I Wanna Be Around,Tony Bennett,Jazz,Johnny Mercer,1963,32,46,3.4
156,Shadow of Your Smile,Tony Bennett,Jazz,Johnny Mandel,1966,19,418,3.1666666666666665
157,Good Life,Tony Bennett,Jazz,Sacha Distel,1963,26,106,3.3666666666666667
158,Just in Time,Tony Bennett,Jazz,Betty Comden,1956,29,319,3.2058823529411766
159,As Time Goes By,Tony Bennett,Romantic,Herman Hupfeld,1975,30,519,2.730769230769231
160,Blue Velvet,Tony Bennett,Jazz,Lee Morris,1951,29,73,3.269230769230769
161,Who Can I Turn To (When Nobody Needs Me),Tony Bennett,Jazz,Leslie Bricusse,1964,22,152,3.055555555555556
162,Jesus Freak,dc Talk,Religious,Mark Heimermann,1995,27,8,3.1818181818181817
163,Between You and Me,dc Talk,Religious,Mark Heimermann,1995,19,1,3.15
164,Supernatural,dc Talk,Religious,Mark Heimermann,1998,14,2,2.9444444444444446
165,In the Light,dc Talk,Religious,Charlie Peacock,1995,16,8,3.1
166,Colored People,dc Talk,Religious,George Cocchini,1995,14,2,3.2142857142857144
167,Consume Me,dc Talk,Religious,Mark Heimermann,1999,13,0,3.25
168,Luv Is a Verb,dc Talk,Religious,George Cocchini,1992,11,0,3.1875
169,What If I Stumble?,dc Talk,Religious,Daniel Joseph,1997,12,2,3.5
170,Mind's Eye,dc Talk,Religious,Mark Heimermann,1995,14,0,3.0
171,I Wish We'd All Been Ready,dc Talk,Religious,Larry Norman,1995,9,11,3.375
172,Say the Words (Now),dc Talk,Religious,Mark Heimermann,2004,6,0,3.25
173,Truth,dc Talk,Religious,Mark Heimermann,1998,3,0,2.5
174,Into Jesus,dc Talk,Religious,Mark Heimermann,1998,3,1,2.5
175,Fearless,dc Talk,Religious,George Cocchini,1998,3,0,2.5
176,Red Letters,dc Talk,Religious,Chris Harris,1998,5,0,3.0
177,I Been to Georgia on a Fast Train,Billy Joe Shaver,Country,Billy Joe Shaver,1973,9,4,3.7142857142857135
178,You Asked Me To,Billy Joe Shaver,Country,Waylon Jennings,1977,5,17,3.9
179,Georgia on a Fast Train,Billy Joe Shaver,Country,Billy Joe Shaver,1993,6,15,3.333333333333333
180,Ride Me Down Easy,Billy Joe Shaver,Country,Billy Joe Shaver,1976,7,20,3.7857142857142856
181,Old Five and Dimers Like Me,Billy Joe Shaver,Country,Billy Joe Shaver,1973,7,9,4.083333333333333
182,Black Rose,Billy Joe Shaver,Country,Billy Joe Shaver,1973,3,12,4.166666666666667
183,Honky Tonk Heroes,Billy Joe Shaver,Country,Billy Joe Shaver,1977,5,15,3.75
184,When I Get My Wings,Billy Joe Shaver,Country,Billy Joe Shaver,1976,5,1,3.7
185,Live Forever,Billy Joe Shaver,Sentimental,Billy Joe Shaver,1995,1,18,3.0
186,Hottest Thing In Town,Shaver,Pop/Rock,Billy Joe Shaver,1993,2,1,3.75
187,Restless Wind,Billy Joe Shaver,Country,Billy Joe Shaver,1976,5,2,3.7
188,Street Walkin' Woman,Billy Joe Shaver,Country,Billy Joe Shaver,1987,2,2,3.25
189,Texas Uphere Tennessee,Billy Joe Shaver,Country,Billy Joe Shaver,1976,4,0,3.75
190,I'm Just an Old Chunk of Coal (But I'm Going to Be a Diamond Someday),Billy Joe Shaver,Country,Billy Joe Shaver,1981,3,2,4.166666666666667
191,Blue Texas Waltz,Billy Joe Shaver,Country,Billy Joe Shaver,1981,4,0,3.375
192,Willy the Wandering Gypsy and Me,Billy Joe Shaver,Country,Billy Joe Shaver,1973,1,5,4.5
